time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-10-03 00:00:00+00:00,12,10,156,62
2024-10-04 00:00:00+00:00,10,9,88,46
2024-10-05 00:00:00+00:00,12,10,95,41
2024-10-06 00:00:00+00:00,9,6,73,46
2024-10-07 00:00:00+00:00,12,11,145,61
2024-10-08 00:00:00+00:00,9,8,78,54
2024-10-09 00:00:00+00:00,11,8,139,56
2024-10-10 00:00:00+00:00,8,6,97,53
2024-10-11 00:00:00+00:00,10,9,103,53
2024-10-12 00:00:00+00:00,26,14,112,37
2024-10-13 00:00:00+00:00,14,12,95,49
2024-10-14 00:00:00+00:00,22,12,156,64
2024-10-15 00:00:00+00:00,17,16,180,70
2024-10-16 00:00:00+00:00,12,10,62,41
2024-10-17 00:00:00+00:00,17,16,82,50
2024-10-18 00:00:00+00:00,13,9,84,54
2024-10-19 00:00:00+00:00,7,6,91,45
2024-10-20 00:00:00+00:00,9,8,114,44
2024-10-21 00:00:00+00:00,14,10,105,56
2024-10-22 00:00:00+00:00,6,6,87,47
2024-10-23 00:00:00+00:00,9,8,89,57
2024-10-24 00:00:00+00:00,7,6,74,56
2024-10-25 00:00:00+00:00,5,4,90,50
2024-10-26 00:00:00+00:00,8,7,84,42
2024-10-27 00:00:00+00:00,4,4,163,52
2024-10-28 00:00:00+00:00,11,11,109,52
2024-10-29 00:00:00+00:00,11,10,102,58
2024-10-30 00:00:00+00:00,14,13,156,54
2024-10-31 00:00:00+00:00,7,7,90,42
2024-11-01 00:00:00+00:00,15,11,126,58
2024-11-02 00:00:00+00:00,8,8,156,69
2024-11-03 00:00:00+00:00,10,8,151,80
2024-11-04 00:00:00+00:00,8,8,97,57
2024-11-05 00:00:00+00:00,10,10,127,58
2024-11-06 00:00:00+00:00,15,12,94,55
2024-11-07 00:00:00+00:00,18,12,144,57
2024-11-08 00:00:00+00:00,8,7,75,44
2024-11-09 00:00:00+00:00,4,4,71,39
2024-11-10 00:00:00+00:00,7,7,72,40
2024-11-11 00:00:00+00:00,8,8,85,45
2024-11-12 00:00:00+00:00,7,7,95,51
2024-11-13 00:00:00+00:00,6,6,78,44
2024-11-14 00:00:00+00:00,5,4,73,42
2024-11-15 00:00:00+00:00,4,4,115,57
2024-11-16 00:00:00+00:00,9,8,62,32
2024-11-17 00:00:00+00:00,2,2,78,34
2024-11-18 00:00:00+00:00,10,8,142,60
2024-11-19 00:00:00+00:00,7,7,92,61
2024-11-20 00:00:00+00:00,9,8,61,38
2024-11-21 00:00:00+00:00,5,4,76,45
2024-11-22 00:00:00+00:00,11,8,119,40
2024-11-23 00:00:00+00:00,9,7,50,26
2024-11-24 00:00:00+00:00,5,5,91,52
2024-11-25 00:00:00+00:00,10,8,109,56
2024-11-26 00:00:00+00:00,6,6,80,55
2024-11-27 00:00:00+00:00,14,11,108,56
2024-11-28 00:00:00+00:00,11,8,93,51
2024-11-29 00:00:00+00:00,8,4,51,36
2024-11-30 00:00:00+00:00,6,6,65,35
2024-12-01 00:00:00+00:00,5,3,60,33
2024-12-02 00:00:00+00:00,7,6,74,36
2024-12-03 00:00:00+00:00,6,6,71,49
2024-12-04 00:00:00+00:00,6,6,104,63
2024-12-05 00:00:00+00:00,3,3,93,64
2024-12-06 00:00:00+00:00,5,5,65,43
2024-12-07 00:00:00+00:00,6,6,68,36
2024-12-08 00:00:00+00:00,16,8,123,48
2024-12-09 00:00:00+00:00,18,14,156,61
2024-12-10 00:00:00+00:00,8,5,96,58
2024-12-11 00:00:00+00:00,7,5,110,60
2024-12-12 00:00:00+00:00,9,6,54,40
2024-12-13 00:00:00+00:00,9,9,55,32
2024-12-14 00:00:00+00:00,4,4,63,26
2024-12-15 00:00:00+00:00,4,3,39,28
2024-12-16 00:00:00+00:00,8,8,72,37
2024-12-17 00:00:00+00:00,9,8,107,48
2024-12-18 00:00:00+00:00,9,8,136,50
2024-12-19 00:00:00+00:00,4,4,117,54
2024-12-20 00:00:00+00:00,6,6,49,29
2024-12-21 00:00:00+00:00,8,4,68,35
2024-12-22 00:00:00+00:00,3,3,45,33
2024-12-23 00:00:00+00:00,4,4,62,32
2024-12-24 00:00:00+00:00,8,7,63,34
2024-12-25 00:00:00+00:00,7,4,52,37
2024-12-26 00:00:00+00:00,7,6,50,36
2024-12-27 00:00:00+00:00,14,8,167,60
2024-12-28 00:00:00+00:00,6,5,89,47
2024-12-29 00:00:00+00:00,8,6,46,31
2024-12-30 00:00:00+00:00,1,1,77,38
2024-12-31 00:00:00+00:00,6,4,46,39
2025-01-01 00:00:00+00:00,11,9,88,37
2025-01-02 00:00:00+00:00,7,7,107,47
2025-01-03 00:00:00+00:00,11,8,125,50
2025-01-04 00:00:00+00:00,9,9,106,54
2025-01-05 00:00:00+00:00,8,8,113,53
2025-01-06 00:00:00+00:00,15,11,62,43
2025-01-07 00:00:00+00:00,22,14,103,53
2025-01-08 00:00:00+00:00,13,10,119,74
2025-01-09 00:00:00+00:00,22,13,108,63
2025-01-10 00:00:00+00:00,8,8,117,60
2025-01-11 00:00:00+00:00,11,9,104,43
2025-01-12 00:00:00+00:00,10,9,101,37
2025-01-13 00:00:00+00:00,18,14,131,62
2025-01-14 00:00:00+00:00,14,13,94,60
2025-01-15 00:00:00+00:00,12,10,65,49
2025-01-16 00:00:00+00:00,10,10,123,48
2025-01-17 00:00:00+00:00,12,10,159,57
2025-01-18 00:00:00+00:00,6,5,75,39
2025-01-19 00:00:00+00:00,9,8,57,31
2025-01-20 00:00:00+00:00,16,11,71,52
2025-01-21 00:00:00+00:00,5,5,103,54
2025-01-22 00:00:00+00:00,14,12,156,62
2025-01-23 00:00:00+00:00,17,13,108,41
2025-01-24 00:00:00+00:00,14,11,176,45
2025-01-25 00:00:00+00:00,8,8,125,55
2025-01-26 00:00:00+00:00,10,7,82,45
2025-01-27 00:00:00+00:00,13,13,70,45
2025-01-28 00:00:00+00:00,12,11,70,51
2025-01-29 00:00:00+00:00,13,11,178,56
2025-01-30 00:00:00+00:00,28,24,103,49
2025-01-31 00:00:00+00:00,31,25,119,44
2025-02-01 00:00:00+00:00,26,19,43,29
2025-02-02 00:00:00+00:00,22,16,73,39
2025-02-03 00:00:00+00:00,34,27,123,53
2025-02-04 00:00:00+00:00,27,25,131,64
2025-02-05 00:00:00+00:00,50,28,77,48
2025-02-06 00:00:00+00:00,27,20,94,44
2025-02-07 00:00:00+00:00,29,22,334,71
2025-02-08 00:00:00+00:00,23,20,50,33
2025-02-09 00:00:00+00:00,36,27,163,90
2025-02-10 00:00:00+00:00,39,29,171,87
2025-02-11 00:00:00+00:00,52,41,184,62
2025-02-12 00:00:00+00:00,47,33,163,79
2025-02-13 00:00:00+00:00,36,29,83,58
2025-02-14 00:00:00+00:00,23,16,67,45
2025-02-15 00:00:00+00:00,29,26,99,48
2025-02-16 00:00:00+00:00,30,20,114,60
2025-02-17 00:00:00+00:00,42,27,193,65
2025-02-18 00:00:00+00:00,33,27,101,56
2025-02-19 00:00:00+00:00,22,18,77,58
2025-02-20 00:00:00+00:00,22,20,99,61
2025-02-21 00:00:00+00:00,37,29,117,53
2025-02-22 00:00:00+00:00,20,15,98,40
2025-02-23 00:00:00+00:00,21,16,43,35
2025-02-24 00:00:00+00:00,45,36,88,45
2025-02-25 00:00:00+00:00,28,22,134,67
2025-02-26 00:00:00+00:00,32,24,141,64
2025-02-27 00:00:00+00:00,23,21,113,48
2025-02-28 00:00:00+00:00,42,26,89,50
2025-03-01 00:00:00+00:00,23,14,72,38
2025-03-02 00:00:00+00:00,23,16,84,50
2025-03-03 00:00:00+00:00,35,24,214,67
2025-03-04 00:00:00+00:00,30,28,104,54
2025-03-05 00:00:00+00:00,31,25,99,53
2025-03-06 00:00:00+00:00,44,34,84,49
2025-03-07 00:00:00+00:00,31,25,192,109
2025-03-08 00:00:00+00:00,72,35,207,126
2025-03-09 00:00:00+00:00,26,21,116,52
2025-03-10 00:00:00+00:00,40,39,174,62
2025-03-11 00:00:00+00:00,36,33,66,48
2025-03-12 00:00:00+00:00,35,30,114,59
2025-03-13 00:00:00+00:00,35,32,115,64
2025-03-14 00:00:00+00:00,24,21,106,58
2025-03-15 00:00:00+00:00,31,22,83,53
2025-03-16 00:00:00+00:00,75,39,243,35
2025-03-17 00:00:00+00:00,43,30,186,62
2025-03-18 00:00:00+00:00,39,33,150,64
2025-03-19 00:00:00+00:00,37,33,128,59
2025-03-20 00:00:00+00:00,26,26,120,60
2025-03-21 00:00:00+00:00,27,25,153,72
2025-03-22 00:00:00+00:00,18,17,94,48
2025-03-23 00:00:00+00:00,23,18,118,38
2025-03-24 00:00:00+00:00,20,17,148,58
2025-03-25 00:00:00+00:00,28,23,126,49
2025-03-26 00:00:00+00:00,13,13,237,56
2025-03-27 00:00:00+00:00,27,16,145,59
2025-03-28 00:00:00+00:00,58,26,102,56
2025-03-29 00:00:00+00:00,32,18,91,32
2025-03-30 00:00:00+00:00,41,23,83,44
2025-03-31 00:00:00+00:00,37,19,126,65
2025-04-01 00:00:00+00:00,30,18,145,48
2025-04-02 00:00:00+00:00,26,19,106,39
2025-04-03 00:00:00+00:00,22,17,105,43
